t,x,y,psi,v,
1705698520.765,-10149.2659,-32736.1644,-0.11184140,0.2348,
1705698521.964,-10149.1746,-32736.0804,0.64937234,0.2775,
1705698525.722,-10148.9504,-32736.0725,0.67852927,0.0771,
1705698527.953,-10148.5237,-32735.9988,-0.39131196,0.1551,
1705698528.453,-10148.4645,-32736.0158,-0.22670809,0.3026,
1705698528.752,-10148.4012,-32736.0270,-0.47332167,0.1243,
1705698532.211,-10148.0707,-32736.0330,-0.61829246,0.2860,
1705698532.346,-10148.0345,-32736.0553,-0.59576111,0.2150,
1705698533.745,-10147.8906,-32736.2658,-0.94870458,0.3002,
1705698535.341,-10148.1348,-32736.1657,2.39029540,0.3320,
1705698536.604,-10148.2663,-32736.0776,2.44027926,0.2785,
1705698541.730,-10148.1341,-32735.5777,2.49278006,0.2601,
1705698542.831,-10148.3602,-32735.4332,-3.00575737,0.4767,
1705698543.726,-10148.5592,-32735.3331,-2.82979964,0.4179,
1705698544.392,-10148.8033,-32735.1997,1.95766446,0.5398,
1705698544.591,-10148.8485,-32735.1331,2.21991255,0.4178,
1705698544.725,-10148.8847,-32735.0887,2.05445726,0.3121,
1705698545.523,-10148.7306,-32734.8780,1.04130132,0.5525,
1705698545.721,-10148.7124,-32734.7893,1.37682890,0.4245,
1705698546.388,-10148.5584,-32734.6231,1.18242336,0.4817,
1705698548.983,-10148.5581,-32734.4234,1.87474942,0.2367,
1705698549.518,-10148.5440,-32734.3901,-0.80586451,0.2077,
1705698550.282,-10148.6938,-32734.4010,-2.20168042,0.3697,
1705698550.881,-10149.0648,-32734.3562,2.89553206,0.1698,
1705698551.480,-10149.1195,-32734.6779,-2.00316216,0.4919,
1705698552.012,-10149.4986,-32734.1840,2.20804911,2.4348,
1705698552.411,-10149.7611,-32733.9893,2.60162794,1.0276,
1705698552.710,-10149.8424,-32733.8561,2.50024336,0.3385,
1705698552.877,-10149.8877,-32733.8450,2.75104724,0.3102,
1705698553.312,-10150.0053,-32733.8559,-2.43378781,0.1332,
1705698553.677,-10150.0686,-32733.7724,-2.22121544,0.1348,
1705698554.109,-10150.1319,-32733.7613,2.24610202,0.2821,
1705698554.510,-10150.1770,-32733.6227,1.75598014,0.3673,
1705698555.074,-10150.2130,-32733.4563,1.83511771,0.5167,
1705698555.208,-10150.2310,-32733.3897,1.91771030,0.4382,
1705698556.072,-10150.4572,-32733.3229,-2.89886662,0.3985,
1705698557.370,-10150.5749,-32733.4226,-2.03434378,0.5578,
1705698557.570,-10150.6292,-32733.4447,-2.19674542,0.3094,
1705698557.904,-10150.6204,-32733.6666,-1.37902810,0.6348,
1705698558.403,-10150.6747,-32733.6222,-2.80629939,0.1188,
1705698559.401,-10150.7654,-32733.8550,-2.32284131,0.1880,
1705698560.699,-10150.9608,-32733.8059,2.47074575,0.4882,
1705698561.099,-10151.0999,-32733.5773,1.87509014,1.1741,
1705698561.697,-10151.2716,-32733.3219,1.99202871,1.0154,
1705698561.963,-10151.3166,-32733.1111,1.86085862,0.8839,
1705698562.163,-10151.3797,-32732.9335,1.73797128,0.9903,
1705698562.463,-10151.3612,-32732.6007,1.44143745,1.2572,
1705698562.662,-10151.3157,-32732.3345,1.59295316,0.9759,
1705698562.861,-10151.3698,-32732.2124,1.77186970,0.6809,
1705698563.194,-10151.3151,-32731.8131,1.22806094,1.8108,
1705698563.394,-10151.1338,-32731.5359,1.03364997,1.2120,
1705698563.661,-10151.0703,-32731.3807,1.27708801,0.8933,
1705698563.860,-10151.0157,-32731.1699,1.41507259,1.1814,
1705698564.060,-10150.9973,-32730.9148,1.36367189,1.1954,
1705698564.191,-10150.9519,-32730.7706,1.27516243,1.0284,
1705698564.459,-10150.8974,-32730.5710,1.40445354,0.9991,
1705698564.993,-10150.6075,-32730.3051,0.50379808,0.8616,
1705698565.258,-10150.5078,-32730.1499,0.61943444,1.1009,
1705698565.391,-10150.3539,-32730.0613,0.55434742,1.0280,
1705698565.889,-10150.3174,-32729.7840,1.65098026,0.5218,
1705698566.089,-10150.2992,-32729.7396,1.80457265,0.3256,
1705698566.257,-10150.3353,-32729.6730,1.62669906,0.3161,
1705698566.656,-10150.3803,-32729.6890,1.83270839,0.6185,
1705698566.785,-10150.3982,-32729.5669,1.86568185,0.7152,
1705698567.254,-10150.5068,-32729.5557,-2.36701832,0.0784,
