47418.16013174244,-170615.45418504858
47418.178908139904,-170615.50699579215
47418.197684537365,-170615.55980653572
47418.21646093482,-170615.6126172793
47418.23523733228,-170615.66542802285
47418.25401372974,-170615.71823876642
47418.2727901272,-170615.77104951
47418.291566524655,-170615.82386025356
47418.310342922116,-170615.87667099712
47418.32911931958,-170615.9294817407
47418.34789571704,-170615.98229248426
47418.36667211449,-170616.03510322783
47418.38544851195,-170616.0879139714
47418.40422490941,-170616.14072471496
47418.42300130687,-170616.19353545853
47418.44177770433,-170616.2463462021
47418.46055410179,-170616.29915694566
47418.47933049925,-170616.35196768923
47418.49810689671,-170616.4047784328
47418.51688329416,-170616.45758917637
47418.535659691624,-170616.51039991993
47418.554436089085,-170616.5632106635
47418.573212486546,-170616.61602140707
47418.591988884,-170616.66883215064
47418.61076528146,-170616.7216428942
47418.62954167892,-170616.77445363777
47418.64831807638,-170616.82726438134
47418.667094473836,-170616.8800751249
47418.6858708713,-170616.93288586847
47418.70464726876,-170616.98569661204
47418.72342366622,-170617.0385073556
47418.74220006367,-170617.09131809918
47418.76097646113,-170617.14412884274
47418.779752858594,-170617.1969395863
47418.798529256055,-170617.24975032988
47418.817305653516,-170617.30256107345
47418.83608205097,-170617.35537181702
47418.85485844843,-170617.40818256058
47418.87363484589,-170617.46099330415
47418.89241124335,-170617.51380404772
47418.911187640806,-170617.56661479129
47418.92996403827,-170617.61942553485
47418.94874043573,-170617.67223627842
47418.96751683319,-170617.725047022
47418.98629323064,-170617.77785776556
47419.0050696281,-170617.83066850912
47419.023846025564,-170617.8834792527
47419.042622423025,-170617.93628999626
47419.06139882048,-170617.98910073983
47419.08017521794,-170618.0419114834
47419.0989516154,-170618.09472222696
47419.11772801286,-170618.14753297053
47419.136504410315,-170618.2003437141
47419.155280807776,-170618.25315445766
47419.17405720524,-170618.30596520123
47419.1928336027,-170618.3587759448
47419.21161000015,-170618.41158668837
47419.23038639761,-170618.46439743193
47419.24916279507,-170618.5172081755
47419.267939192534,-170618.57001891907
47419.28671558999,-170618.62282966264
47419.30549198745,-170618.6756404062
47419.32426838491,-170618.72845114977
47419.34304478237,-170618.78126189334
47419.361821179824,-170618.8340726369
47419.380597577285,-170618.88688338047
47419.399373974746,-170618.93969412404
47419.41815037221,-170618.9925048676
47419.43692676967,-170619.04531561118
47419.45570316712,-170619.09812635474
47419.47447956458,-170619.1509370983
47419.49325596204,-170619.20374784188
47419.512032359504,-170619.25655858545
47419.53080875696,-170619.309369329
47419.54958515442,-170619.36218007258
47419.56836155188,-170619.41499081615
47419.58713794934,-170619.46780155972
47419.605914346794,-170619.52061230328
47419.624690744255,-170619.57342304685
47419.643467141716,-170619.62623379042
47419.66224353918,-170619.679044534
47419.68101993663,-170619.73185527755
47419.69979633409,-170619.78466602112
47419.71857273155,-170619.8374767647
47419.73734912901,-170619.89028750826
47419.756125526466,-170619.94309825182
47419.77490192393,-170619.9959089954
47419.79367832139,-170620.04871973896
47419.81245471885,-170620.10153048253
47419.8312311163,-170620.1543412261
47419.85000751376,-170620.20715196966
47419.868783911224,-170620.25996271323
47419.887560308685,-170620.3127734568
47419.90633670614,-170620.36558420036
47419.9251131036,-170620.41839494393
47419.94388950106,-170620.4712056875
47419.96266589852,-170620.52401643107
47419.981442295975,-170620.57682717463
47420.000218693436,-170620.6296379182
47420.0189950909,-170620.68244866177
