Nrep,Time[s],No in Nrep,Range[m],Velocity[m/s],Azimuth[deg],Elevation[deg],Amplitude[dB],amplitude,Data No,UNIXTIME,date,time(h-m-s)
1,0.075,1,2.028393E+00,0.000000E+00,1.811307E+01,0.000000E+00,2.010724E+01,1.025000E+02,1,1711946438.153,2024-04-01,13-40-38.153
1,0.075,1,1.653078E+00,0.000000E+00,-2.030038E+01,0.000000E+00,2.050766E+01,1.124000E+02,1,1711946438.153,2024-04-01,13-40-38.153
1,0.075,1,5.432918E-01,0.000000E+00,-3.998042E+00,0.000000E+00,2.061075E+01,1.151000E+02,1,1711946438.153,2024-04-01,13-40-38.153
1,0.075,1,1.495491E+01,7.484375E+00,3.648356E+01,0.000000E+00,1.793790E+01,6.220000E+01,1,1711946438.153,2024-04-01,13-40-38.153
1,0.075,1,4.724929E+00,-6.828125E+00,-5.259029E+01,0.000000E+00,1.790285E+01,6.170000E+01,1,1711946438.153,2024-04-01,13-40-38.153
1,0.075,1,1.201094E+00,-1.945312E+00,-6.966240E+00,0.000000E+00,1.744293E+01,5.550000E+01,1,1711946438.153,2024-04-01,13-40-38.153
1,0.075,1,2.423487E+00,0.000000E+00,2.861046E+01,0.000000E+00,2.010300E+01,1.024000E+02,1,1711946438.153,2024-04-01,13-40-38.153
1,0.075,1,9.633164E-01,0.000000E+00,1.306395E+01,0.000000E+00,2.027350E+01,1.065000E+02,1,1711946438.153,2024-04-01,13-40-38.153
1,0.075,1,2.446198E+00,-1.945312E+00,4.668088E+01,0.000000E+00,1.730782E+01,5.380000E+01,1,1711946438.153,2024-04-01,13-40-38.153
1,0.075,1,1.108935E+00,3.898438E+00,-3.005922E+00,0.000000E+00,1.754348E+01,5.680000E+01,1,1711946438.153,2024-04-01,13-40-38.153
1,0.075,1,1.267360E+00,4.554688E+00,-5.020846E+00,0.000000E+00,1.750508E+01,5.630000E+01,1,1711946438.153,2024-04-01,13-40-38.153
1,0.075,1,3.878023E-01,-7.156250E+00,1.860246E-01,0.000000E+00,1.795185E+01,6.240000E+01,1,1711946438.153,2024-04-01,13-40-38.153
1,0.075,1,1.442375E+00,9.437500E+00,-5.099842E+00,0.000000E+00,1.738781E+01,5.480000E+01,1,1711946438.153,2024-04-01,13-40-38.153
1,0.075,1,4.539863E+00,4.554688E+00,-1.662346E+00,0.000000E+00,1.775974E+01,5.970000E+01,1,1711946438.153,2024-04-01,13-40-38.153
1,0.075,1,5.338173E+00,7.156250E+00,1.570430E+00,0.000000E+00,1.751279E+01,5.640000E+01,1,1711946438.153,2024-04-01,13-40-38.153
