Nrep,Time[s],No in Nrep,Range[m],Velocity[m/s],Azimuth[deg],Elevation[deg],Amplitude[dB],amplitude,Data No,UNIXTIME,date,time(h-m-s)
19,1.425,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,19,1708923825.765,2024-02-26,14-3-45.765
20,1.5,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,20,1708923825.840,2024-02-26,14-3-45.840
20,1.5,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977724E+01,9.500000E+01,20,1708923825.840,2024-02-26,14-3-45.840
21,1.575,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,21,1708923825.915,2024-02-26,14-3-45.915
21,1.575,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,21,1708923825.915,2024-02-26,14-3-45.915
22,1.65,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,22,1708923825.990,2024-02-26,14-3-45.990
22,1.65,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,22,1708923825.990,2024-02-26,14-3-45.990
23,1.7249999999999999,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,23,1708923826.065,2024-02-26,14-3-46.65
23,1.7249999999999999,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,23,1708923826.065,2024-02-26,14-3-46.65
24,1.7999999999999998,1,4.120736E+00,0.000000E+00,-3.790454E+00,0.000000E+00,2.011147E+01,1.026000E+02,24,1708923826.140,2024-02-26,14-3-46.140
24,1.7999999999999998,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977724E+01,9.500000E+01,24,1708923826.140,2024-02-26,14-3-46.140
25,1.875,1,4.120736E+00,0.000000E+00,-3.790454E+00,0.000000E+00,2.011147E+01,1.026000E+02,25,1708923826.215,2024-02-26,14-3-46.215
25,1.875,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,25,1708923826.215,2024-02-26,14-3-46.215
26,1.95,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,26,1708923826.290,2024-02-26,14-3-46.290
26,1.95,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,26,1708923826.290,2024-02-26,14-3-46.290
