Nrep,Time[s],No in Nrep,Range[m],Velocity[m/s],Azimuth[deg],Elevation[deg],Amplitude[dB],amplitude,Data No,UNIXTIME,date,time(h-m-s)
1,0.075,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,1,1708922965.802,2024-02-26,13-49-25.802
1,0.075,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,1,1708922965.802,2024-02-26,13-49-25.802
2,0.15,1,4.120736E+00,0.000000E+00,-3.790454E+00,0.000000E+00,2.011147E+01,1.026000E+02,2,1708922965.876,2024-02-26,13-49-25.876
2,0.15,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,2,1708922965.876,2024-02-26,13-49-25.876
3,0.22499999999999998,1,4.120736E+00,0.000000E+00,-3.790454E+00,0.000000E+00,2.011147E+01,1.026000E+02,3,1708922965.951,2024-02-26,13-49-25.951
3,0.22499999999999998,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,3,1708922965.951,2024-02-26,13-49-25.951
4,0.3,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,4,1708922966.026,2024-02-26,13-49-26.26
4,0.3,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.976808E+01,9.480000E+01,4,1708922966.026,2024-02-26,13-49-26.26
5,0.375,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,5,1708922966.101,2024-02-26,13-49-26.101
5,0.375,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,5,1708922966.101,2024-02-26,13-49-26.101
6,0.44999999999999996,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,6,1708922966.176,2024-02-26,13-49-26.176
6,0.44999999999999996,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.976808E+01,9.480000E+01,6,1708922966.176,2024-02-26,13-49-26.176
7,0.525,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,7,1708922966.251,2024-02-26,13-49-26.251
7,0.525,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,7,1708922966.251,2024-02-26,13-49-26.251
8,0.6,1,4.120736E+00,0.000000E+00,-3.790454E+00,0.000000E+00,2.011147E+01,1.026000E+02,8,1708922966.326,2024-02-26,13-49-26.326
8,0.6,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,8,1708922966.326,2024-02-26,13-49-26.326
