$GPGGA,090208.10,3542.296515615,N,13943.272250182,E,4,11,1.05,23.589,M,36.997,M,1.1,2107*4B
$PMSBATV,090208.10,2,2,-0.33608,0.54296,29.26113,0.000,0.000,-0.000,41.11267,0.000*47,,,
$GPGGA,090208.20,3542.296515740,N,13943.272250264,E,4,11,1.05,23.589,M,36.997,M,1.2,2107*41
$PMSBATV,090208.20,2,2,-0.34110,0.54032,29.25998,-0.000,0.000,0.000,41.11267,0.000*49,,,
$GPGGA,090208.30,3542.296515635,N,13943.272250239,E,4,11,1.05,23.589,M,36.997,M,1.3,2107*4A
$PMSBATV,090208.30,2,2,-0.34134,0.55019,29.25877,0.000,-0.000,0.000,41.11267,0.000*46,,,
$GPGGA,090208.40,3542.296515596,N,13943.272250203,E,4,11,1.05,23.588,M,36.997,M,1.4,2107*48
$PMSBATV,090208.40,2,2,-0.33005,0.55419,29.25815,0.000,0.000,-0.000,41.11267,0.000*45,,,
$GPGGA,090208.50,3542.296515671,N,13943.272250141,E,4,11,1.05,23.588,M,36.997,M,1.5,2107*47
$PMSBATV,090208.50,2,2,-0.33323,0.55299,29.26033,-0.000,0.000,0.000,41.11267,0.000*42,,,
$GPGGA,090208.60,3542.296515446,N,13943.272250191,E,4,11,1.05,23.588,M,36.997,M,1.6,2107*4C
$PMSBATV,090208.60,2,2,-0.34973,0.55428,29.26117,-0.000,0.000,0.000,41.11267,0.000*42,,,
$GPGGA,090208.70,3542.296515290,N,13943.272250015,E,4,11,1.05,23.588,M,36.997,M,1.7,2107*4C
$PMSBATV,090208.70,2,2,-0.35057,0.56065,29.26147,-0.000,0.000,0.000,41.11267,0.000*46,,,
$GPGGA,090208.80,3542.296515305,N,13943.272250000,E,4,11,1.05,23.588,M,36.997,M,1.8,2107*45
$PMSBATV,090208.80,2,2,-0.34308,0.55490,29.26188,-0.000,-0.000,-0.000,41.11267,0.000*4F,,,
$GPGGA,090208.90,3542.296515253,N,13943.272250012,E,4,11,1.05,23.588,M,36.997,M,1.9,2107*44
$PMSBATV,090208.90,2,2,-0.35512,0.54757,29.26188,0.000,0.000,0.000,41.11267,0.000*66,,,
$GPGGA,090209.00,3542.296515350,N,13943.272250100,E,4,11,1.05,23.588,M,36.997,M,2.0,2107*46
$PMSBATV,090209.00,2,2,-0.35184,0.54676,29.26339,-0.000,0.000,0.000,41.11267,0.000*42,,,
$GPGGA,090209.10,3542.296515305,N,13943.272250121,E,4,11,1.05,23.587,M,36.997,M,2.1,2107*4A
$PMSBATV,090209.10,2,2,-0.33518,0.55369,29.26140,0.000,-0.000,-0.000,41.11267,0.000*6F,,,
$GPGGA,090209.20,3542.296515386,N,13943.272250171,E,4,11,1.05,23.587,M,36.997,M,2.2,2107*44
$PMSBATV,090209.20,2,2,-0.34829,0.56113,29.26269,0.001,0.000,-0.000,41.11267,0.000*4C,,,
$GPGGA,090209.30,3542.296515197,N,13943.272250061,E,4,11,1.05,23.587,M,36.997,M,2.3,2107*46
$PMSBATV,090209.30,2,2,-0.35531,0.55432,29.26136,-0.000,0.000,-0.000,41.11267,0.000*68,,,
$GPGGA,090209.40,3542.296515345,N,13943.272250066,E,4,11,1.05,23.587,M,36.997,M,2.4,2107*4C
$PMSBATV,090209.40,2,2,-0.34223,0.55073,29.26385,-0.000,-0.000,-0.000,41.11267,0.000*4C,,,
$GPGGA,090209.50,3542.296515251,N,13943.272250049,E,4,11,1.05,23.586,M,36.997,M,2.5,2107*44
$PMSBATV,090209.50,2,2,-0.34041,0.55678,29.26179,0.000,-0.000,0.000,41.11267,0.000*47,,,
$GPGGA,090209.60,3542.296515286,N,13943.272250021,E,4,11,1.05,23.586,M,36.997,M,2.6,2107*40
$PMSBATV,090209.60,2,2,-0.35001,0.55984,29.26424,0.000,0.000,-0.000,41.11267,0.000*40,,,
$GPGGA,090209.70,3542.296515399,N,13943.272250146,E,4,11,1.05,23.586,M,36.997,M,2.7,2107*4F
$PMSBATV,090209.70,2,2,-0.34390,0.55189,29.26590,-0.000,-0.000,0.000,41.11267,0.000*6D,,,
$GPGGA,090209.80,3542.296515455,N,13943.272250177,E,4,11,1.05,23.586,M,36.997,M,2.8,2107*4A
$PMSBATV,090209.80,2,2,-0.34130,0.55217,29.26453,0.000,0.000,0.000,41.11267,0.000*60,,,
$GPGGA,090209.90,3542.296514515,N,13943.272246362,E,4,11,1.05,23.592,M,36.997,M,2.9,2107*4A
$PMSBATV,090209.90,2,2,-0.33798,0.55560,29.26489,0.000,-0.000,0.000,41.11267,0.000*4F,,,
$GPGGA,090210.00,3542.296514647,N,13943.272246484,E,4,11,1.05,23.592,M,36.997,M,3.0,2107*48
$PMSBATV,090210.00,2,2,-0.34113,0.55069,29.26513,-0.000,-0.000,0.000,41.11267,0.000*6F,,,
$GPGGA,090210.10,3542.296514228,N,13943.272245102,E,4,11,1.05,23.593,M,36.997,M,3.1,2107*4C
$PMSBATV,090210.10,2,2,-0.34400,0.55278,29.26541,-0.000,-0.000,0.000,41.11267,0.000*6C,,,
$GPGGA,090210.20,3542.296514195,N,13943.272245071,E,4,11,1.05,23.593,M,36.997,M,3.2,2107*4C
$PMSBATV,090210.20,2,2,-0.33316,0.55644,29.26159,0.000,0.000,0.000,41.11267,0.000*6E,,,
$GPGGA,090210.30,3542.296514297,N,13943.272245303,E,4,11,1.05,23.593,M,36.997,M,3.3,2107*4B
$PMSBATV,090210.30,2,2,-0.33617,0.56016,29.26298,0.000,0.000,0.000,41.11267,0.000*67,,,
$GPGGA,090210.40,3542.296514149,N,13943.272245186,E,4,11,1.05,23.593,M,36.997,M,3.4,2107*44
$PMSBATV,090210.40,2,2,-0.35409,0.55005,29.26243,-0.000,0.000,0.000,41.11267,0.000*41,,,
$GPGGA,090210.50,3542.296514202,N,13943.272245198,E,4,11,1.05,23.593,M,36.997,M,3.5,2107*47
