Message Type,UTC Time,Latitude,Latitude Direction,Longitude,Longitude Direction,GPS Quality Indicator,Number of Satellites,Horizontal Dilution of Precision (HDOP),Altitude,Altitude Units,Geoid Separation,Geoid Separation Units,DGPS Age,DGPS Station ID,Checksum
$GPGGA,122356.20,3542.306148753,N,13943.279741884,E,5,11,1.05,24.819,M,36.998,M,4.2,7107,42
$GPGGA,122356.30,3542.306148708,N,13943.279742163,E,5,11,1.05,24.819,M,36.998,M,4.3,7107,4F
$GPGGA,122356.40,3542.306148756,N,13943.279742424,E,5,11,1.05,24.819,M,36.998,M,4.4,7107,42
$GPGGA,122356.50,3542.306148670,N,13943.279742647,E,5,11,1.05,24.819,M,36.998,M,4.5,7107,40
$GPGGA,122356.60,3542.306148584,N,13943.279742901,E,5,11,1.05,24.819,M,36.998,M,4.6,7107,45
$GPGGA,122356.70,3542.306148560,N,13943.279743129,E,5,11,1.05,24.819,M,36.998,M,4.7,7107,4C
$GPGGA,122356.80,3542.306148469,N,13943.279743307,E,5,11,1.05,24.820,M,36.998,M,4.8,7107,40
$GPGGA,122356.90,3542.306148403,N,13943.279743508,E,5,11,1.05,24.820,M,36.998,M,4.9,7107,45
$GPGGA,122357.00,3542.306148354,N,13943.279743696,E,5,11,1.05,24.820,M,36.998,M,5.0,7107,44
$GPGGA,122357.10,3542.306148242,N,13943.279743952,E,5,11,1.05,24.820,M,36.998,M,5.1,7107,45
$GPGGA,122357.20,3542.306148033,N,13943.279744401,E,5,11,1.05,24.820,M,36.998,M,5.2,7107,4D
$GPGGA,122357.30,3542.306147940,N,13943.279744661,E,5,11,1.05,24.821,M,36.998,M,5.3,7107,4A
$GPGGA,122357.40,3542.306147735,N,13943.279745044,E,5,12,0.97,24.821,M,36.998,M,5.4,7107,4F
$GPGGA,122357.50,3542.306147735,N,13943.279745277,E,5,12,0.97,24.822,M,36.998,M,5.5,7107,4E
$GPGGA,122357.60,3542.306147611,N,13943.279745730,E,5,12,0.97,24.822,M,36.998,M,5.6,7107,4F
$GPGGA,122357.70,3542.306147495,N,13943.279746009,E,5,12,0.97,24.822,M,36.998,M,5.7,7107,4F
