$PMSBATV,051738.90,2,2,-0.24826,-0.36358,-26.77466,-0.000,0.000,-0.000,139.79692,0.000*58,,,
$GPGGA,051739.00,3542.295757768,N,13943.269274469,E,5,11,1.10,24.835,M,36.997,M,7.0,4107*49
$PMSBATV,051739.00,2,2,-0.24518,-0.36420,-26.77524,-0.000,0.000,0.000,139.79692,0.000*72,,,
$GPGGA,051739.10,3542.295757808,N,13943.269274518,E,5,11,1.10,24.835,M,36.997,M,2.1,4107*42
$PMSBATV,051739.10,2,2,-0.24516,-0.36355,-26.77447,-0.000,0.000,0.000,139.79692,0.000*7C,,,
$GPGGA,051739.20,3542.295757798,N,13943.269274534,E,5,11,1.10,24.836,M,36.997,M,2.2,4107*49
$PMSBATV,051739.20,2,2,-0.24550,-0.37110,-26.77600,0.000,-0.000,-0.000,139.79692,0.000*53,,,
$GPGGA,051739.30,3542.295757787,N,13943.269274554,E,5,11,1.10,24.836,M,36.997,M,2.3,4107*41
$PMSBATV,051739.30,2,2,-0.24800,-0.36910,-26.78161,-0.000,-0.000,0.000,139.79692,0.000*5C,,,
$GPGGA,051739.40,3542.295757775,N,13943.269274573,E,5,11,1.10,24.836,M,36.997,M,2.4,4107*49
$PMSBATV,051739.40,2,2,-0.24312,-0.37417,-26.78229,-0.000,0.000,0.000,139.79692,0.000*7A,,,
$GPGGA,051739.50,3542.295757760,N,13943.269274591,E,5,11,1.10,24.836,M,36.997,M,2.5,4107*41
$PMSBATV,051739.50,2,2,-0.24359,-0.37353,-26.78056,-0.000,-0.000,0.000,139.79692,0.000*54,,,
$GPGGA,051739.60,3542.295757749,N,13943.269274608,E,5,11,1.10,24.836,M,36.997,M,2.6,4107*49
$PMSBATV,051739.60,2,2,-0.24059,-0.36993,-26.78030,0.000,-0.000,0.000,139.79692,0.000*7E,,,
$GPGGA,051739.70,3542.295757737,N,13943.269274622,E,5,11,1.10,24.836,M,36.997,M,2.7,4107*48
$PMSBATV,051739.70,2,2,-0.23764,-0.36908,-26.77666,0.000,-0.000,0.000,139.79692,0.000*79,,,
$GPGGA,051739.80,3542.295757723,N,13943.269274635,E,5,11,1.10,24.836,M,36.997,M,2.8,4107*4B
$PMSBATV,051739.80,2,2,-0.23953,-0.37010,-26.77627,0.000,-0.000,0.000,139.79692,0.000*78,,,
$GPGGA,051739.90,3542.295757703,N,13943.269274654,E,5,11,1.10,24.836,M,36.997,M,2.9,4107*4E
$PMSBATV,051739.90,2,2,-0.23538,-0.37348,-26.77683,-0.000,-0.000,0.000,139.79692,0.000*55,,,
