-32697.80697,-10120.60601,94.9,65926.819
-32679.13477,-10122.62617,66.6,65926.819
-32687.9546,-10121.35162,81.6,65926.819
-32697.05629,-10115.45464,65.3,65926.894
-32684.22135,-10119.65968,80.9,65926.894
-32690.4256,-10122.67827,86.5,65926.894
-32688.09906,-10109.81269,80,65926.894
-32696.82455,-10129.95515,84.1,65926.894
-32698.86328,-10119.00811,106.2,65926.894
-32684.82293,-10124.71779,78.4,65926.894
-32699.36755,-10118.18955,103.4,65926.894
-32697.66632,-10120.38628,106.1,65926.894
-32690.05055,-10131.40267,87.2,65926.969
-32690.49239,-10122.64495,89.6,65926.969
-32685.20959,-10116.87807,79.2,65926.969
-32696.89017,-10132.00534,88.1,65926.969
-32696.44448,-10129.84257,87,65926.969
-32699.33426,-10118.10797,100,65926.969
-32699.61141,-10118.11721,103.2,65926.969
-32696.39743,-10122.3499,100.9,65926.969
-32684.9143,-10121.17636,74.5,65926.969
-32698.60539,-10119.4692,95.8,65926.969
-32697.54252,-10120.285,101.6,65926.969
-32687.745,-10121.69612,84.3,65926.969
-32696.48161,-10133.82649,87.3,65927.044
-32699.09552,-10118.23985,107.8,65927.044
-32696.24287,-10111.6948,82.7,65927.044
-32697.21813,-10120.66444,100.2,65927.044
-32697.59803,-10120.34781,93.5,65927.044
-32687.36883,-10122.85106,78.2,65927.044
-32690.27918,-10122.34304,91.5,65927.044
-32695.99051,-10133.72106,90,65927.119
-32696.22778,-10127.63376,93.2,65927.119
-32698.76362,-10118.91558,103.6,65927.119
-32683.4437,-10119.10968,77.2,65927.119
-32699.65119,-10122.54841,95,65927.119
-32697.06328,-10120.52737,98.3,65927.119
-32697.44777,-10120.15065,106,65927.119
-32687.25561,-10123.03419,81.7,65927.119
-32690.29933,-10122.12065,89.2,65927.119
-32683.33045,-10120.14805,81.3,65927.194
-32696.63686,-10133.90943,92.4,65927.194
-32695.83607,-10131.91061,87.3,65927.194
-32698.96803,-10118.29791,107.6,65927.194
-32684.00491,-10125.12042,77.5,65927.194
-32696.14498,-10121.57584,111.7,65927.194
-32696.80182,-10120.83785,98.2,65927.194
-32678.11211,-10124.11569,75.2,65927.194
-32690.03339,-10122.28872,89.9,65927.194
-32696.6574,-10127.95242,96.3,65927.269
