t,x,y,psi,v,
1706175520.779,47449.2820,-170590.4717,8.52442003,0.6731,
1706175520.978,47449.2079,-170590.3612,8.68376904,0.6553,
1706175521.179,47449.0881,-170590.2952,8.95268475,0.7246,
1706175521.378,47448.9500,-170590.2294,8.92183675,0.6858,
1706175521.578,47448.8486,-170590.1633,9.07840058,0.7768,
1706175521.731,47448.7106,-170590.1308,9.14624850,0.7868,
1706175521.978,47448.5817,-170590.0760,9.22021239,0.6297,
1706175522.177,47448.4438,-170590.0656,9.24196577,0.7936,
1706175522.329,47448.3150,-170590.0329,9.25318221,0.7745,
1706175522.579,47448.1588,-170590.0337,9.42987845,0.7638,
1706175522.824,47447.9383,-170590.0349,9.42987843,0.6067,
1706175522.975,47447.8740,-170590.0352,9.38739800,0.5574,
1706175523.176,47447.7270,-170590.0248,9.27898567,0.7454,
1706175523.374,47447.5798,-170589.9923,9.12690915,0.7744,
1706175523.624,47447.3957,-170589.9156,9.08483990,0.6166,
1706175523.775,47447.3220,-170589.8938,9.15679713,0.5787,
1706175523.973,47447.1932,-170589.8612,9.38616759,0.6699,
1706175524.173,47447.0556,-170589.8841,9.58948379,0.6962,
1706175524.374,47446.9179,-170589.9070,9.78228762,0.8728,
1706175524.524,47446.7804,-170589.9742,9.92626683,0.9357,
1706175524.722,47446.6430,-170590.0637,9.95707068,0.7304,
1706175524.973,47446.5055,-170590.1309,10.01045059,0.7681,
1706175525.223,47446.3225,-170590.2760,10.15495785,0.6765,
1706175525.372,47446.2677,-170590.3318,-2.23232458,0.6878,
1706175525.574,47446.1674,-170590.4876,-2.17459768,0.8467,
1706175525.770,47446.0762,-170590.6101,-2.15429742,0.8334,
1706175526.074,47445.9396,-170590.8548,-2.03686307,0.8938,
1706175526.270,47445.8669,-170591.0105,-1.89816700,0.8589,
1706175526.470,47445.8310,-170591.1770,-1.79037045,0.8269,
1706175526.869,47445.8051,-170591.4988,-1.53714220,0.8045,
1706175527.069,47445.8059,-170591.6541,-1.53486901,0.7508,
1706175527.268,47445.8158,-170591.7983,-1.43926461,0.7286,
1706175527.468,47445.8441,-170591.9423,-1.28647145,0.7500,
1706175527.668,47445.8999,-170592.0863,-1.21620959,0.7379,
1706175528.017,47446.1035,-170592.3625,-0.74929866,1.1274,
1706175528.267,47446.2143,-170592.4729,-0.78333431,0.7101,
1706175528.468,47446.3251,-170592.5833,-0.70225417,0.9004,
1706175528.716,47446.5372,-170592.7375,-0.65081408,0.9571,
1706175528.918,47446.6756,-170592.8477,-0.65709712,0.7313,
1706175529.065,47446.7494,-170592.9028,-0.50643504,0.7322,
1706175529.265,47446.9151,-170592.9685,-0.42380432,0.9166,
1706175529.516,47447.1270,-170593.0783,-0.36341410,0.5859,
1706175529.664,47447.1822,-170593.0891,-0.31333607,0.5116,
1706175529.865,47447.3111,-170593.1439,-0.23303503,0.8589,
1706175530.015,47447.4582,-170593.1654,-0.10703116,0.8248,
1706175530.264,47447.5960,-170593.1647,0.00510043,0.6796,
1706175530.464,47447.7522,-170593.1639,0.12140952,0.7169,
1706175530.664,47447.8806,-170593.1299,0.26005937,0.7575,
1706175531.016,47448.1650,-170593.0398,0.43628358,0.7409,
1706175531.263,47448.3025,-170592.9725,0.48900757,0.6587,
1706175531.461,47448.4216,-170592.9053,0.61207847,0.7290,
1706175531.662,47448.5405,-170592.8049,0.67379106,0.7677,
1706175531.961,47448.7236,-170592.6709,0.72999037,0.7703,
1706175532.161,47448.8332,-170592.5594,0.87919535,0.9025,
1706175532.314,47448.9245,-170592.4369,0.87919535,0.9025,
1706175532.514,47449.0342,-170592.3254,0.90349148,0.6495,
1706175532.959,47449.1432,-170592.0808,1.16814386,0.6951,
1706175533.160,47449.1977,-170591.9585,1.23100660,0.6780,
1706175533.359,47449.2338,-170591.8252,1.44278385,0.6992,
1706175533.560,47449.2330,-170591.6810,1.57589693,0.6650,
1706175533.759,47449.2324,-170591.5590,1.53807582,0.6151,
1706175533.957,47449.2410,-170591.4370,1.61600078,0.5584,
1706175534.309,47449.1663,-170591.2044,1.93414671,0.7615,
1706175534.556,47449.1381,-170591.0936,1.95517078,0.5462,
1706175534.756,47449.0825,-170590.9830,2.13087799,0.6493,
1706175534.958,47448.9992,-170590.8725,2.18891785,0.6765,
1706175535.157,47448.9251,-170590.7619,2.26817109,0.6894,
1706175535.355,47448.8236,-170590.6626,2.38931729,0.7285,
