t,x,y,psi,v,
1706175608.438,47438.6920,-170594.7630,-2.44894430,0.8114,
1706175608.687,47438.5274,-170594.8970,-2.44100066,0.6737,
1706175608.837,47438.4633,-170594.9528,-2.41285195,0.6422,
1706175609.037,47438.3536,-170595.0531,-2.39170528,0.8164,
1706175609.287,47438.1890,-170595.2093,-2.29464456,0.8245,
1706175609.487,47438.0977,-170595.3318,-2.25794437,0.7234,
1706175609.685,47438.0064,-170595.4321,-2.04457907,0.6016,
1706175609.786,47437.9883,-170595.4876,-2.01633562,0.6340,
1706175609.985,47437.8970,-170595.6101,-2.18969646,0.6630,
1706175610.235,47437.8241,-170595.7214,-2.09918012,0.6584,
1706175610.435,47437.7513,-170595.8549,-2.04325202,0.7513,
1706175610.634,47437.6876,-170595.9883,-2.23366885,0.7794,
1706175610.834,47437.5596,-170596.0999,-2.18988479,0.7860,
1706175611.034,47437.5052,-170596.2444,-2.22944163,0.7743,
1706175611.181,47437.4137,-170596.3225,-2.28345066,0.7227,
1706175611.433,47437.3593,-170596.4670,-2.16952573,0.6034,
1706175611.932,47437.0571,-170596.6460,-2.72335043,0.5546,
1706175612.132,47437.0113,-170596.6795,-2.70593441,0.5335,
1706175612.331,47436.8646,-170596.7357,-2.75401691,0.6708,
1706175612.531,47436.7637,-170596.7806,-2.89956648,0.5907,
1706175612.731,47436.6352,-170596.7923,-2.87437522,0.6421,
1706175612.931,47436.5160,-170596.8484,-2.55661896,0.6604,
1706175613.130,47436.4154,-170596.9376,-2.54077324,0.6929,
1706175613.331,47436.2871,-170597.0049,-2.79320322,0.9236,
1706175613.481,47436.1312,-170597.0500,-2.76952074,0.8896,
1706175613.729,47436.0122,-170597.1394,-2.84535164,0.7919,
1706175613.878,47435.8745,-170597.1623,-3.04356186,0.8294,
1706175614.129,47435.7090,-170597.1520,-2.67482924,0.5843,
1706175614.328,47435.6269,-170597.2523,-2.55588273,0.6601,
1706175614.528,47435.4893,-170597.2973,-2.82185625,0.7756,
1706175614.781,47435.2875,-170597.3649,-2.66847894,0.6405,
1706175614.927,47435.2234,-170597.4096,-2.72589240,0.6160,
1706175615.127,47435.0766,-170597.4436,-2.87829002,0.7602,
1706175615.327,47434.9298,-170597.4888,-2.87724315,0.8467,
1706175615.483,47434.7922,-170597.5227,-2.87774656,0.7847,
1706175615.728,47434.6546,-170597.5678,-2.83852559,0.8544,
1706175615.879,47434.5078,-170597.6129,-2.83855455,0.8539,
1706175616.125,47434.3702,-170597.6580,-2.77317373,0.8284,
1706175616.277,47434.2327,-170597.7142,-2.73511860,0.8401,
1706175616.525,47434.0952,-170597.7814,-2.83999469,0.8222,
1706175616.674,47433.9576,-170597.8154,-2.85787534,0.8537,
1706175616.975,47433.7742,-170597.8940,-2.86770037,0.5091,
1706175617.124,47433.7100,-170597.9054,-2.92938468,0.5552,
1706175617.323,47433.5723,-170597.9394,-2.75466038,0.6703,
1706175617.523,47433.4624,-170598.0065,-2.64287938,0.6399,
1706175617.823,47433.2882,-170598.0850,-2.70816162,0.6478,
1706175618.024,47433.1691,-170598.1411,-2.75466026,0.6704,
1706175618.222,47433.0407,-170598.1861,-2.61178267,0.7205,
1706175618.422,47432.9218,-170598.2866,-2.66017829,0.7258,
1706175618.621,47432.7841,-170598.3205,-2.82538946,0.7256,
1706175618.821,47432.6466,-170598.3767,-2.66848773,0.9192,
1706175618.971,47432.5092,-170598.4550,-2.63982921,0.8888,
1706175619.220,47432.3717,-170598.5223,-2.65939149,0.9336,
1706175619.368,47432.2251,-170598.6007,-2.63696467,0.9280,
1706175619.620,47432.0969,-170598.6790,-2.55180344,0.6413,
1706175619.819,47431.9870,-170598.7572,-2.55987964,0.7139,
1706175620.019,47431.8588,-170598.8355,-2.56005590,0.7123,
1706175620.219,47431.7489,-170598.9137,-2.60912696,0.7133,
1706175620.421,47431.6115,-170598.9810,-2.59101520,0.7531,
1706175620.618,47431.4925,-170599.0703,-2.56143881,0.7714,
1706175620.818,47431.3550,-170599.1487,-2.57939754,0.7760,
1706175621.023,47431.2269,-170599.2381,-2.50241261,0.8015,
1706175621.217,47431.0988,-170599.3385,-2.45179591,0.8437,
1706175621.475,47430.9341,-170599.4836,-2.54869792,0.8868,
1706175621.570,47430.8608,-170599.5283,-2.53407163,0.8163,
1706175621.816,47430.7604,-170599.6398,-2.34778946,0.7900,
1706175622.064,47430.5866,-170599.8070,-2.48000471,0.8339,
1706175622.164,47430.5226,-170599.8517,-2.45698680,0.7253,
1706175622.415,47430.4313,-170599.9742,-2.26791953,0.6867,
1706175622.615,47430.3308,-170600.0856,-2.30462128,0.7503,
1706175622.815,47430.2303,-170600.1971,-2.25721691,0.7581,
1706175623.014,47430.1391,-170600.3196,-2.13928621,0.8027,
1706175623.265,47430.0390,-170600.5086,-2.40534863,0.6725,
1706175623.367,47429.9840,-170600.5422,-2.59339198,0.5997,
1706175623.613,47429.8741,-170600.6093,-2.63675160,0.6519,
1706175623.863,47429.7000,-170600.6989,-2.76411755,0.6707,
1706175624.113,47429.5623,-170600.7329,-2.85391574,0.6516,
1706175624.314,47429.4247,-170600.7780,-2.82502434,0.7258,
1706175624.512,47429.2872,-170600.8231,-2.81510194,0.7059,
1706175624.712,47429.1588,-170600.8681,-2.74171005,0.7236,
1706175624.911,47429.0213,-170600.9353,-2.74170999,0.7235,
1706175625.111,47428.8929,-170600.9804,-2.70177162,0.6584,
1706175625.311,47428.7830,-170601.0475,-2.66459720,0.6724,
1706175625.510,47428.6546,-170601.1036,-2.67962869,0.6929,
1706175625.710,47428.5355,-170601.1708,-2.71601186,0.6793,
1706175625.910,47428.4071,-170601.2158,-2.76613236,0.6916,
1706175626.109,47428.2788,-170601.2719,-2.72939947,0.7021,
1706175626.309,47428.1505,-170601.3280,-2.79295771,0.6586,
1706175626.509,47428.0312,-170601.3619,-2.70719187,0.7856,
1706175626.658,47427.9121,-170601.4291,-2.65513059,0.7834,
1706175626.908,47427.7838,-170601.4852,-2.77457260,0.6266,
1706175627.108,47427.6554,-170601.5302,-2.66425657,0.6706,
1706175627.308,47427.5455,-170601.6084,-2.61035034,0.7194,
1706175627.507,47427.4080,-170601.6757,-2.66781035,0.7634,
1706175627.755,47427.2431,-170601.7652,-2.69766950,0.4274,
1706175628.107,47426.9872,-170601.8594,-2.47691896,0.1145,
1706175642.783,47427.8284,-170601.2409,-0.08750597,0.2999,
1706175642.983,47427.8928,-170601.2406,-0.08800325,0.3005,
1706175643.182,47427.9479,-170601.2514,-0.21079497,0.2589,
1706175643.383,47427.9939,-170601.2623,-0.12648648,0.2087,
1706175643.781,47428.1043,-170601.2802,-0.11505119,0.2314,
1706175643.981,47428.1503,-170601.2800,0.13918183,0.2090,
