x_bias,y_bias
2.677786101194215,-2.4158528130792547
2.687030153865635,-2.4268980786728207
2.6962176279266714,-2.426851215597708
2.696274206500675,-2.4379433435678948
2.705518259135715,-2.4489886098599527
2.7147057331894757,-2.448941745387856
2.7147623117416515,-2.460033874056535
2.7240063666613423,-2.471079138922505
2.733250419216347,-2.482124404545175
2.7424944717422477,-2.493169670138741
2.760925995920843,-2.5041680705035105
2.7701700507313944,-2.5152133368246723
2.7886015771655366,-2.5262117379170377
2.797845629589574,-2.5372570035106037
2.807033103541471,-2.537210139736999
2.816277158271987,-2.548255405330565
2.8163337367150234,-2.559347533271648
2.825521208316786,-2.559300669498043
2.834765260668064,-2.570345935790101
2.8439527345835813,-2.570299072714988
2.8531967892340617,-2.581344338308554
2.862384263142303,-2.5812974745349493
2.8716283154353732,-2.5923427401285153
2.8716283154353732,-2.5923427401285153
2.8808157893290627,-2.5922958763258066
2.890059841585753,-2.6033411433454603
2.890059841585753,-2.6033411433454603
2.8993038938133395,-2.6143864061159547
2.908491367685201,-2.6143395437393337
x_bias_ave,y_bias_ave
2.7958979491008433,-2.5280870070654884
