47415.90603,-170606.144,,,
47415.74708,-170606.4074,,,
47416.07239,-170605.2983,,,
47416.10925,-170605.195,,,
47415.91015,-170606.0727,,,
47416.04069,-170605.9084,,,
47415.62854,-170606.8577,,,
47415.65821,-170607.0513,,,
47416.01084,-170605.7373,,,
47416.14111,-170605.063,,,
47415.70942,-170606.6365,,,
47416.03278,-170605.668,,,
47416.12997,-170604.9579,,,
47416.12512,-170604.8815,,,
47415.30089,-170608.902,,,
47415.29705,-170608.2664,,,
47416.03027,-170606.0522,,,
47416.00835,-170606.1194,,,
47416.00836,-170605.6959,,,
47415.9706,-170605.6055,,,
47416.13321,-170604.866,,,
47415.93152,-170606.3959,,,
47415.48074,-170607.6013,,,
47415.96476,-170605.9945,,,
47416.00175,-170606.0285,,,
47415.83334,-170606.3247,,,
47415.90251,-170606.5609,,,
47415.89345,-170606.3563,,,
47415.88597,-170606.354,,,
47415.68532,-170606.9085,,,
47415.25955,-170608.5084,,,
47415.71653,-170606.8506,,,
47415.67668,-170606.7179,,,
47415.8015,-170606.5252,,,
47415.76658,-170606.524,,,
47415.68177,-170607.1122,,,
47415.31748,-170608.1815,,,
47415.28569,-170608.3147,,,
47415.6403,-170606.9068,,,
47414.67421,-170611.398,,,
47415.26227,-170608.9047,,,
47415.2003,-170608.9313,,,
47415.1345,-170609.3334,,,
47415.67432,-170606.6807,,,
47415.68165,-170606.6986,,,
47415.81346,-170606.7432,,,
47415.84239,-170606.4918,,,
47415.67452,-170607.2831,,,
47415.60763,-170607.5865,,,
47415.44154,-170607.8484,,,
47415.42473,-170607.8589,,,
47415.45021,-170607.6529,,,
47415.34688,-170608.6013,,,
47415.185,-170609.3039,,,
47415.5201,-170607.386,,,
47415.44216,-170607.6253,,,
47415.62295,-170607.0885,,,
47415.7706,-170606.9642,,,
47415.6924,-170607.1655,,,
47415.71564,-170607.0393,,,
47415.57157,-170607.3205,,,
47415.65696,-170607.2198,,,
47415.62639,-170607.5709,,,
47415.57144,-170607.7433,,,
47415.57362,-170607.5269,,,
47415.49018,-170608.0322,,,
47415.28844,-170608.4955,,,
47415.38852,-170608.4514,,,
47415.32035,-170608.3928,,,
47415.39801,-170608.5021,,,
47415.23537,-170608.7238,,,
47415.26397,-170608.7112,,,
47415.32156,-170608.6785,,,
47414.83363,-170610.3526,,,
47415.1816,-170608.8752,,,
47415.16243,-170608.8567,,,
47415.14857,-170608.8639,,,
47415.12045,-170608.9837,,,
47415.162,-170608.9431,,,
47415.24516,-170609.1411,,,
47415.25772,-170609.0455,,,
47415.30361,-170608.699,,,
47415.32261,-170608.6832,,,
47415.18536,-170608.86,,,
47415.31135,-170608.5677,,,
47415.35066,-170608.1502,,,
,,,,
,,,,
47416.14111,-170604.866,,47416.14111,-170604.866
47414.67421,-170611.398,,47414.67421,-170611.398
